evolution$generation;redNoise;harshness;propConf;propMaxi;propAnti;meanDev;evolution$samples
6000;39,2672288524393;95,0659632146174;65;35;0;2,62;2
6000;96,4547700072954;22,978782004122;0;100;0;9,811;1
6000;79,3770637099114;11,1934742064506;0;99;1;18,902;1
6000;73,3735011494012;97,7469134413159;64,4;35,6;0;9,377;1
6000;54,2275163413743;95,0879843241742;66,2;33,8;0;4,258;1
6000;43,9725221612045;12,1183903855921;0;98,2;1,8;9,612;1
6000;87,7255300271424;1;0;98,2;1,8;37,303;1
6000;89,7166919917065;19,2631184443173;0;100;0;11,415;1
6000;93,9223670921859;8,72992767799704;0,2;96,4;3,4;25,899;1
6000;76,3128488937188;11,4807691300626;0;100;0;13,737;1
6000;66,3900146295307;97,4772944858537;79;21;0;12,859;1
6000;26,5349441968302;79,9247264582907;86,7;13,3;0;0,332;2
6000;36,017439014124;99;81,4;18,6;0;12,771;1
6000;52,2376490217783;9,21661861061326;0;95,8;4,2;13,667;1
6000;1,05263515797764;99;80,2;19,8;0;0,367;1
6000;29,0076341839073;98,0194430881851;58,8;41,2;0;6,424;1
6000;3,65413171422157;82,0524714421568;93,6;6,4;0;0,079;1
6000;95,2904186261508;57,7190094539921;99,4;0,6;0;0,923;3
6000;100;18,2006211755057;0;99,2;0,8;15,1265;2
6000;100;83,2655703408449;81;19;0;1,53;1
6000;72,6425658342329;4,36304030954211;0,4;94,8;4,8;24,052;1
6000;45,3037048564667;5,69311249910217;0;98,8;1,2;14,565;1
6000;11,4198957380311;99;73,2;26,8;0;4,294;1
6000;26,0726200024235;92,4316754031228;61,2;38,8;0;1,005;1
6000;21,3024152195051;98,3359152103165;61,4;38,6;0;6,161;1
6000;62,3654865688747;10,121929885862;0;99;1;15,817;1
6000;69,2387898954504;97,4719310118034;65,2;34,8;0;14,193;1
6000;4,97368791064698;5,98891608837433;0,2;98,8;1;1,581;1
6000;98,9218958419566;10,9570588959624;0;94,4;5,6;23,303;1
6000;91,6043145953223;9,06488823223443;0;97,6;2,4;24,724;1
6000;38,5666800453879;76,4077099574539;89,8;10,2;0;0,488;1
6000;92,4620901758434;25,4386154065931;100;0;0;1,697;1
6000;23,6445307416693;8,86018915822498;0,2;92,6;7,2;6,537;1
6000;81,0888257270583;67,5772404723538;96;4;0;0,959;1
6000;34,9222299202773;86,9496371741109;84,2;15,8;0;1,11;1
